Section,,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Revenue,,,
Quarterly Results,Interest,,,
Quarterly Results,Expenses,,,
Quarterly Results,Financing Profit,,,
Quarterly Results,Financing Margin %,,,
Quarterly Results,Other Income,,,
Quarterly Results,Depreciation,,,
Quarterly Results,Profit before tax,,,
Quarterly Results,Tax %,,,
Quarterly Results,Net Profit,,,
Quarterly Results,EPS in Rs,,,
Quarterly Results,Gross NPA %,,,
Quarterly Results,Net NPA %,,,
Quarterly Results,Raw PDF,,,
,,,,
Profit & Loss,Revenue,,,
Profit & Loss,Interest,,,
Profit & Loss,Expenses,,,
Profit & Loss,Financing Profit,,,
Profit & Loss,Financing Margin %,,,
Profit & Loss,Other Income,,,
Profit & Loss,Depreciation,,,
Profit & Loss,Profit before tax,,,
Profit & Loss,Tax %,,,
Profit & Loss,Net Profit,,,
Profit & Loss,EPS in Rs,,,
Profit & Loss,Dividend Payout %,,,
,,,,
Balance Sheet,Equity Capital,,,
Balance Sheet,Reserves,,,
Balance Sheet,Borrowing,,,
Balance Sheet,Other Liabilities,,,
Balance Sheet,Total Liabilities,,,
Balance Sheet,Fixed Assets,,,
Balance Sheet,CWIP,,,
Balance Sheet,Investments,,,
Balance Sheet,Other Assets,,,
Balance Sheet,Total Assets,,,
,,,,
Cash Flows,Cash from Operating Activity,,,
Cash Flows,Cash from Investing Activity,,,
Cash Flows,Cash from Financing Activity,,,
Cash Flows,Net Cash Flow,,,
,,,,
Ratios,ROE %,,,
,,,,
Shareholding Pattern (Quarterly),Promoters,88.75%,88.75%,88.75%
Shareholding Pattern (Quarterly),FIIs,1.68%,1.11%,1.12%
Shareholding Pattern (Quarterly),DIIs,1.83%,0.82%,0.72%
Shareholding Pattern (Quarterly),Government,0.11%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,7.63%,9.32%,9.40%
Shareholding Pattern (Quarterly),No. of Shareholders,2309518,2645574,2605368
,,,,
Shareholding Pattern (Yearly),Promoters,,,88.75%
Shareholding Pattern (Yearly),FIIs,,,1.12%
Shareholding Pattern (Yearly),DIIs,,,0.72%
Shareholding Pattern (Yearly),Public,,,9.40%
Shareholding Pattern (Yearly),No. of Shareholders,,,2605368
,,,,
